Pclass,Sex=male,Age,Embarked=Q,Embarked=S,Survived
<\ 1.5 1.5\ -\ 2.5 ≥\ 2.5,<\ 0.5 ≥\ 0.5,<\ 22.5 22.5\ -\ 34.25 ≥\ 34.25,<\ 0.5 ≥\ 0.5,<\ 0.5 ≥\ 0.5,0 1
,,,,,class
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,1
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,< 0.5,< 22.5,< 0.5,< 0.5,1
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,≥ 0.5,< 0.5,0
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,< 22.5,≥ 0.5,< 0.5,1
< 1.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,< 0.5,1
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,< 22.5,< 0.5,< 0.5,1
≥ 2.5,< 0.5,< 22.5,≥ 0.5,< 0.5,1
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,1
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
1.5 - 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
1.5 - 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,< 0.5,0
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
< 1.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,1
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,≥ 0.5,< 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,< 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
< 1.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,≥ 0.5,< 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
≥ 2.5,< 0.5,< 22.5,≥ 0.5,< 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,≥ 0.5,< 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,≥ 0.5,< 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,1
≥ 2.5,< 0.5,< 22.5,≥ 0.5,< 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
< 1.5,< 0.5,22.5 - 34.25,< 0.5,< 0.5,1
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,< 0.5,22.5 - 34.25,< 0.5,< 0.5,1
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
< 1.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,< 22.5,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
< 1.5,≥ 0.5,≥ 34.25,≥ 0.5,< 0.5,0
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,< 0.5,22.5 - 34.25,< 0.5,< 0.5,1
< 1.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,< 0.5,1
1.5 - 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
< 1.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
< 1.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
1.5 - 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
< 1.5,≥ 0.5,≥ 34.25,< 0.5,< 0.5,0
< 1.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,≥ 0.5,< 0.5,0
≥ 2.5,< 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,≥ 34.25,≥ 0.5,< 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,< 0.5,0
≥ 2.5,≥ 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
≥ 2.5,≥ 0.5,< 22.5,< 0.5,≥ 0.5,0
1.5 - 2.5,≥ 0.5,≥ 34.25,< 0.5,≥ 0.5,1
≥ 2.5,< 0.5,< 22.5,≥ 0.5,< 0.5,1
< 1.5,< 0.5,22.5 - 34.25,< 0.5,≥ 0.5,1
< 1.5,< 0.5,< 22.5,< 0.5,< 0.5,1
